timestamp,mac,rssi,frame
2024-02-14T11:17:31Z,D2:5D:54:6C:5C:E8,-89,QAAAAP///////9JdVGxc6P///////4DgAAdLeWl2MTUwAQQCBAsWMggMEhgkMEhgbAMBCC0aLUAX/wAAAAAAAAAAAAAAAAAAAAAAAAAAAAB/BAAACIRrBw/////////dCwAX
2024-02-14T11:17:31Z,D2:5D:54:6C:5C:E8,-90,QAAAAP///////9JdVGxc6P///////9DgAAABBAIECxYyCAwSGCQwSGBsAwEILRotQBf/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8EAAAIhGsHD////////w==
2024-02-14T11:17:32Z,B4:B5:B6:B2:37:CB,-89,QAAAAP///////7S1trI3y/////////A5AAABCIKEi5YMEhgkMgQwSGBsLRrvGQP//wAAAAAAAAAAAAAAAAAAAAAAAAAAAEYFMgABAAB/CQAAAAAAAAAAAA==
2024-02-14T11:17:37Z,BA:9A:CF:78:9C:4C,-82,QAAAAP///////7qaz3icTP///////6A2AAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgQ/6/wAA+v8AAP8cIwEICAAA
2024-02-14T11:17:37Z,BA:9A:CF:78:9C:4C,-79,QAAAAP///////7qaz3icTP///////+BwAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:17:39Z,96:6F:9D:D9:03:64,-78,QAAAAP///////5ZvndkDZP////////BfAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:17:39Z,96:6F:9D:D9:03:64,-78,QAAAAP///////5ZvndkDZP///////0CqAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:17:39Z,22:32:96:0A:14:B4,-80,QAAAAP///////yIylgoUtP///////1CqAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:17:39Z,32:07:B4:04:6D:F3,-72,QAAAAP///////zIHtARt8////////8C8AAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:17:40Z,AA:32:3C:8E:E2:3C,-81,QAAAAP///////6oyPI7iPP///////4D+AAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:17:40Z,AA:32:3C:8E:E2:3C,-80,QAAAAP///////6oyPI7iPP///////6AwAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:17:40Z,42:4A:13:6E:26:14,-91,QAAAAP///////0JKE24mFP///////9DqAAdLeWl2MTUwAQQCBAsWMggMEhgkMEhgbAMBCC0aLUAX/wAAAAAAAAAAAAAAAAAAAAAAAAAAAAB/BAAACIRrBw/////////dCwAX
