timestamp,mac,rssi,frame
2024-02-14T11:22:10Z,0E:66:CA:DF:78:F2,-14,QAAAAP///////w5myt948v///////yAcAAABBAIECxYyCAwSGCQwSGBsAwEILRqtARP//wAAAAAAAAAAAAAAAAAAAAAAAAAAAL8MkvGQM/r/YgP6/2ID3QcAUPIIACsAfwsA
2024-02-14T11:22:10Z,0E:66:CA:DF:78:F2,-14,QAAAAP///////w5myt948v///////zAcAAABBAIECxYyCAwSGCQwSGBsAwEILRqtARP//wAAAAAAAAAAAAAAAAAAAAAAAAAAAL8MkvGQM/r/YgP6/2ID3QcAUPIIACsAfwsA
2024-02-14T11:22:11Z,0E:66:CA:DF:78:F2,-23,QAAAAP///////w5myt948v///////xAdAAABCAwSGCQwSGBsLRrvARP//wAAAAAAAAAAAAAAAAAAAAAAAAAAAL8MsvGQM/r/YgP6/2ID3QcAUPIIACUAfwsAAAqCAEBAAAAB
2024-02-14T11:22:11Z,0E:66:CA:DF:78:F2,-23,QAAAAP///////w5myt948v///////yAdAAABCAwSGCQwSGBsLRrvARP//wAAAAAAAAAAAAAAAAAAAAAAAAAAAL8MsvGQM/r/YgP6/2ID3QcAUPIIACUAfwsAAAqCAEBAAAAB
2024-02-14T11:23:30Z,B6:EF:5F:37:36:45,-33,QAAAAP///////7bvXzc2Rf///////8DaAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:23:30Z,62:92:4E:E3:FD:78,-26,QAAAAP///////2KSTuP9eP///////8CSAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:24:21Z,72:C2:37:D7:D4:D9,-33,QAAAAP///////3LCN9fU2f///////9BSAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:24:21Z,72:C2:37:D7:D4:D9,-32,QAAAAP///////3LCN9fU2f///////9CIAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:24:22Z,3E:14:84:6B:6D:1E,-28,QAAAAP///////z4UhGttHv///////8DaAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:24:22Z,3E:14:84:6B:6D:1E,-28,QAAAAP///////z4UhGttHv///////wACAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:24:43Z,B6:71:5A:D6:D5:BB,-33,QAAAAP///////7ZxWtbVu////////xAMAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:24:43Z,B6:71:5A:D6:D5:BB,-33,QAAAAP///////7ZxWtbVu////////zAMAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:24:43Z,1E:65:8A:13:5D:38,-24,QAAAAP///////x5lihNdOP///////8BWAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:24:43Z,1E:65:8A:13:5D:38,-31,QAAAAP///////x5lihNdOP///////9BWAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:25:41Z,F2:4E:74:4F:15:82,-33,QAAAAP////////JOdE8Vgv///////8CZAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIAAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:25:42Z,42:A2:9B:27:D2:3C,-24,QAAAAP///////0KimyfSPP///////2A0AAABBIKEi5YyCAwSGCQwSGBsAwEILRotABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIAAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:26:36Z,AA:0B:F7:C9:A1:FE,-33,QAAAAP///////6oL98mh/v///////9C2AAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:26:36Z,AA:0B:F7:C9:A1:FE,-34,QAAAAP///////6oL98mh/v///////4CxAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:26:36Z,8A:77:B5:95:C7:30,-25,QAAAAP///////4p3tZXHMP///////8AdAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:26:36Z,8A:77:B5:95:C7:30,-25,QAAAAP///////4p3tZXHMP///////9AdAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:26:57Z,2E:97:AB:F0:85:21,-27,QAAAAP///////y6Xq/CFIf///////wAXAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:26:57Z,86:BB:EF:C0:9F:3F,-33,QAAAAP///////4a778CfP////////wAZAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:26:57Z,86:BB:EF:C0:9F:3F,-32,QAAAAP///////4a778CfP////////yAZAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
